user_id,business_id
zcTZk7OG8ovAmh_fenH21g,tJRDll5yqpZwehenzE2cSg
M5n8mMFoeXjnJEV2gxyGGA,2ThtBbeDqFkVi6LugUOcVA
ZcLKXikTHYOnYt5VYRO5sg,jH19V2I9fIslnNhDzPmdkA
oaYhjqBbh18ZhU0bpyzSuw,dAa0hB2yrnHzVmsCkN4YvQ
ulQ8Nyj7jCUR8M83SUMoRQ,dAa0hB2yrnHzVmsCkN4YvQ
ulQ8Nyj7jCUR8M83SUMoRQ,ESzO3Av0b1_TzKOiqzbQYQ
ulQ8Nyj7jCUR8M83SUMoRQ,k7WRPbDd7rztjHcGGkEjlw
ulQ8Nyj7jCUR8M83SUMoRQ,k7WRPbDd7rztjHcGGkEjlw
ulQ8Nyj7jCUR8M83SUMoRQ,SqW3igh1_Png336VIb5DUA
ulQ8Nyj7jCUR8M83SUMoRQ,KNpcPGqDORDdvtekXd348w
ulQ8Nyj7jCUR8M83SUMoRQ,KNpcPGqDORDdvtekXd348w
ulQ8Nyj7jCUR8M83SUMoRQ,KNpcPGqDORDdvtekXd348w
ulQ8Nyj7jCUR8M83SUMoRQ,8qNOI6Q1-rJrvWWD5Btz6w
ulQ8Nyj7jCUR8M83SUMoRQ,8qNOI6Q1-rJrvWWD5Btz6w
ulQ8Nyj7jCUR8M83SUMoRQ,A73Dp0lo9s_Ci9NFDqbhqw
ulQ8Nyj7jCUR8M83SUMoRQ,--ujyvoQlwVoBgMYtADiLA
ulQ8Nyj7jCUR8M83SUMoRQ,FCUVjQf762no86Uzcbv1Tg
ulQ8Nyj7jCUR8M83SUMoRQ,Tl_jT2a0bRMac5_YW65GPg
ulQ8Nyj7jCUR8M83SUMoRQ,Tl_jT2a0bRMac5_YW65GPg
ulQ8Nyj7jCUR8M83SUMoRQ,c5NHHW0sNm7eaQBwvQJkkw
ulQ8Nyj7jCUR8M83SUMoRQ,zJwm3DThV4WUIkyNv68Ahw
ulQ8Nyj7jCUR8M83SUMoRQ,ofXtrtsaKzPpVXFa8fHgiw
TvkqJ8YEIsTb16RnnrNyfQ,JzB7NITHQ7gVHGVZ1ntgIQ
TvkqJ8YEIsTb16RnnrNyfQ,h14GmWZ8rXum9fXF__wt3w
TvkqJ8YEIsTb16RnnrNyfQ,yQab5dxZzgBLTEHCw9V7_w
TvkqJ8YEIsTb16RnnrNyfQ,yQab5dxZzgBLTEHCw9V7_w
TvkqJ8YEIsTb16RnnrNyfQ,yQab5dxZzgBLTEHCw9V7_w
TvkqJ8YEIsTb16RnnrNyfQ,yQab5dxZzgBLTEHCw9V7_w
TvkqJ8YEIsTb16RnnrNyfQ,yQab5dxZzgBLTEHCw9V7_w
TvkqJ8YEIsTb16RnnrNyfQ,3pQ4KSnOX9Y2IEMJvGFxUg
TvkqJ8YEIsTb16RnnrNyfQ,3pQ4KSnOX9Y2IEMJvGFxUg
TvkqJ8YEIsTb16RnnrNyfQ,3pQ4KSnOX9Y2IEMJvGFxUg
TvkqJ8YEIsTb16RnnrNyfQ,xFN8mRubo3G0oIzJwc8XBA
TvkqJ8YEIsTb16RnnrNyfQ,JmI9nslLD7KZqRr__Bg6NQ
TvkqJ8YEIsTb16RnnrNyfQ,JmI9nslLD7KZqRr__Bg6NQ
TvkqJ8YEIsTb16RnnrNyfQ,-VruCC0mPOyZXW1MfQLkQA
TvkqJ8YEIsTb16RnnrNyfQ,MSnWYdS0w5m9JLcr1wHO4w
